,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,weight,liveness
6gigGFhKguOzObNC5QZbeW,0.205,https://api.spotify.com/v1/audio-analysis/6gigGFhKguOzObNC5QZbeW,0.816,169639,0.686,6gigGFhKguOzObNC5QZbeW,0.000128,6,-8.582,0,0.0747,140.019,4,https://api.spotify.com/v1/tracks/6gigGFhKguOzObNC5QZbeW,audio_features,spotify:track:6gigGFhKguOzObNC5QZbeW,0.671,,1,0.0784
4SivdhwHgTucm4QH27DCWV,0.409,https://api.spotify.com/v1/audio-analysis/4SivdhwHgTucm4QH27DCWV,0.559,188296,0.579,4SivdhwHgTucm4QH27DCWV,0,9,-9.753,0,0.508,207.713,4,https://api.spotify.com/v1/tracks/4SivdhwHgTucm4QH27DCWV,audio_features,spotify:track:4SivdhwHgTucm4QH27DCWV,0.541,,1,0.186
34yAAS72vZUXvsQPHGZexE,0.215,https://api.spotify.com/v1/audio-analysis/34yAAS72vZUXvsQPHGZexE,0.492,203653,0.463,34yAAS72vZUXvsQPHGZexE,0,0,-7.957,0,0.27,184.276,4,https://api.spotify.com/v1/tracks/34yAAS72vZUXvsQPHGZexE,audio_features,spotify:track:34yAAS72vZUXvsQPHGZexE,0.65,,1,0.275
62wEefnHZ9mREiplmWrxF2,0.353,https://api.spotify.com/v1/audio-analysis/62wEefnHZ9mREiplmWrxF2,0.364,234040,0.545,62wEefnHZ9mREiplmWrxF2,0,5,-9.92,0,0.219,82.033,4,https://api.spotify.com/v1/tracks/62wEefnHZ9mREiplmWrxF2,audio_features,spotify:track:62wEefnHZ9mREiplmWrxF2,0.159,,1,0.0971
0ixzR1LXNfGuect63Q58dA,0.58,https://api.spotify.com/v1/audio-analysis/0ixzR1LXNfGuect63Q58dA,0.557,265160,0.731,0ixzR1LXNfGuect63Q58dA,1.27e-05,8,-7.987,0,0.399,80.107,4,https://api.spotify.com/v1/tracks/0ixzR1LXNfGuect63Q58dA,audio_features,spotify:track:0ixzR1LXNfGuect63Q58dA,0.348,,1,0.109
0JBi8HoBEDXNgcMacf4k6d,0.61,https://api.spotify.com/v1/audio-analysis/0JBi8HoBEDXNgcMacf4k6d,0.771,286364,0.631,0JBi8HoBEDXNgcMacf4k6d,0,0,-5.58,0,0.311,88.002,4,https://api.spotify.com/v1/tracks/0JBi8HoBEDXNgcMacf4k6d,audio_features,spotify:track:0JBi8HoBEDXNgcMacf4k6d,0.882,,1,0.308
0FfRKjxPPxqjHNOE6LZ8Jh,0.198,https://api.spotify.com/v1/audio-analysis/0FfRKjxPPxqjHNOE6LZ8Jh,0.825,181480,0.521,0FfRKjxPPxqjHNOE6LZ8Jh,0,10,-10.651,0,0.267,126.059,4,https://api.spotify.com/v1/tracks/0FfRKjxPPxqjHNOE6LZ8Jh,audio_features,spotify:track:0FfRKjxPPxqjHNOE6LZ8Jh,0.796,,1,0.0726
2pUrFLAbWbUqZnnSgJ2u5I,0.607,https://api.spotify.com/v1/audio-analysis/2pUrFLAbWbUqZnnSgJ2u5I,0.814,216907,0.619,2pUrFLAbWbUqZnnSgJ2u5I,0,11,-7.82,0,0.218,124.073,4,https://api.spotify.com/v1/tracks/2pUrFLAbWbUqZnnSgJ2u5I,audio_features,spotify:track:2pUrFLAbWbUqZnnSgJ2u5I,0.625,,1,0.0829
7dZAPeA3Of5j5Vaef0DQ6M,0.245,https://api.spotify.com/v1/audio-analysis/7dZAPeA3Of5j5Vaef0DQ6M,0.93,216413,0.712,7dZAPeA3Of5j5Vaef0DQ6M,1.48e-05,10,-5.156,0,0.0666,99.054,4,https://api.spotify.com/v1/tracks/7dZAPeA3Of5j5Vaef0DQ6M,audio_features,spotify:track:7dZAPeA3Of5j5Vaef0DQ6M,0.456,,1,0.116
6tZ3b7ik1QDXFAZlXib0YZ,0.482,https://api.spotify.com/v1/audio-analysis/6tZ3b7ik1QDXFAZlXib0YZ,0.829,200310,0.527,6tZ3b7ik1QDXFAZlXib0YZ,0,6,-6.644,0,0.367,116.079,4,https://api.spotify.com/v1/tracks/6tZ3b7ik1QDXFAZlXib0YZ,audio_features,spotify:track:6tZ3b7ik1QDXFAZlXib0YZ,0.475,,1,0.631
